,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Westport,92,IE,1541292534,98,53.8,-9.52,49.43,25.93
377,Naryan-Mar,92,RU,1541292534,100,67.67,53.09,26.34,10.54
378,Hervey Bay,0,AU,1541292253,85,-25.3,152.85,77.82,11.77
379,Iranshahr,0,IR,1541289600,16,27.21,60.69,53.6,4.7
380,Boca do Acre,32,BR,1541292534,82,-8.76,-67.39,80.07,2.19
381,Kavaratti,56,IN,1541292534,100,10.57,72.64,81.87,12.77
382,Urrao,92,CO,1541292534,100,6.32,-76.13,62.34,1.52
383,Kishi,12,NG,1541292534,89,9.08,3.85,72.69,6.89
384,Ulaangom,0,MN,1541292535,45,49.98,92.07,-5.34,2.26
385,Touros,100,BR,1541292535,86,-5.2,-35.46,79.44,15.28
386,Methoni,48,GR,1541290800,87,36.82,21.7,55.4,3.36
387,Sinegorye,76,RU,1541292535,76,62.09,150.53,-3.0,2.71
388,Victoria,75,BN,1541291400,88,5.28,115.24,84.2,2.24
389,Broome,12,GB,1541290800,81,52.47,1.45,46.58,10.29
390,Amuntai,24,ID,1541292536,95,-2.42,115.25,77.37,3.04
391,Vestmannaeyjar,0,IS,1541292536,98,63.44,-20.27,36.78,25.37
392,Ulagan,48,RU,1541292536,79,50.63,87.96,-3.05,1.81
393,Zalantun,0,CN,1541292537,41,48.0,122.72,21.21,5.55
394,Campos Belos,56,BR,1541292537,77,-13.04,-46.77,76.43,3.6
395,Marfino,90,RU,1541289600,100,56.07,37.56,46.4,11.18
396,Rincon,1,US,1541290500,90,32.3,-81.24,57.92,5.73
397,Sorata,36,BO,1541292537,97,-15.77,-68.65,56.31,0.96
398,Katsuura,40,JP,1541289600,71,33.93,134.5,57.2,2.24
399,Calama,0,CL,1541289600,16,-22.46,-68.93,62.6,19.46
400,Orzhytsya,32,UA,1541292538,93,49.79,32.7,42.27,5.21
401,Oktyabrskoye,64,RU,1541292538,71,56.73,85.44,14.96,6.55
402,Hovd,40,NO,1541290800,81,63.83,10.7,46.4,18.34
403,Clyde River,90,CA,1541289600,78,70.47,-68.59,8.6,10.29
404,Hassleholm,90,SE,1541290800,100,56.16,13.77,37.4,6.06
405,Sistranda,75,NO,1541289000,81,63.73,8.83,46.4,23.04
406,Mamlyutka,36,KZ,1541292540,82,54.94,68.54,27.24,11.1
407,Juegang,0,CN,1541292540,92,32.31,121.18,63.74,9.86
408,Anadyr,75,RU,1541289600,85,64.73,177.51,24.8,4.47
409,El Alto,75,BO,1541289600,66,-16.5,-68.19,48.2,6.93
410,Alice Springs,0,AU,1541291400,23,-23.7,133.88,96.8,11.41
411,Tasiilaq,56,GL,1541289000,52,65.61,-37.64,19.4,4.7
412,Port Perry,90,CA,1541289600,93,44.1,-78.95,42.8,9.17
413,Great Falls,75,US,1541289480,59,47.5,-111.29,46.22,17.22
414,Andilamena,68,MG,1541292541,85,-17.01,48.57,64.05,2.86
415,Muli,32,IN,1541292542,39,22.62,71.45,71.66,4.76
416,Port Augusta,80,AU,1541289600,39,-32.49,137.76,78.8,8.05
417,Port Blair,0,IN,1541292514,100,11.67,92.75,83.67,13.94
418,Riyadh,75,SA,1541289600,68,24.63,46.72,71.6,6.93
419,Chekmagush,88,RU,1541292542,90,55.14,54.65,34.76,12.15
420,Rae Bareli,100,IN,1541292542,47,26.22,81.25,77.51,1.59
421,Singaraja,76,ID,1541292542,100,-8.11,115.08,75.39,1.86
422,Namibe,20,AO,1541292543,100,-15.19,12.15,70.44,11.36
423,Kukushtan,90,RU,1541289600,93,57.65,56.5,39.2,15.66
424,Luena,56,AO,1541292515,91,-11.78,19.91,65.36,3.04
425,Yichun,8,CN,1541292426,49,47.72,128.88,19.41,3.83
426,Noumea,0,NC,1541291400,39,-22.28,166.46,82.4,12.75
427,Codrington,0,AU,1541292544,62,-28.95,153.24,84.93,5.39
428,Seddon,32,NZ,1541292544,71,-41.67,174.07,59.69,12.88
429,Vardo,1,US,1541290500,45,39.62,-77.74,50.0,3.36
430,Haines Junction,80,CA,1541292544,85,60.75,-137.51,6.0,2.75
431,Qiongshan,48,CN,1541289600,100,20.01,110.35,69.8,2.24
432,Brae,68,GB,1541290800,87,60.4,-1.35,53.6,23.04
433,Kaeo,0,NZ,1541292545,51,-35.1,173.78,70.44,17.92
434,Batemans Bay,8,AU,1541292545,68,-35.71,150.18,69.72,3.87
435,Funadhoo,24,MV,1541292545,100,6.15,73.27,82.77,3.98
436,Kenora,75,CA,1541289600,68,49.76,-94.48,33.8,2.24
437,Morondava,0,MG,1541292545,85,-20.3,44.28,72.83,7.78
438,Ziro,92,IN,1541292545,100,27.54,93.82,52.94,1.86
439,Washougal,90,US,1541289180,71,45.58,-122.35,57.92,2.37
440,Karratha,0,AU,1541292546,25,-20.74,116.85,87.68,9.86
441,Byron Bay,0,AU,1541291400,61,-28.65,153.62,80.6,9.17
442,Xuddur,68,SO,1541292546,55,4.12,43.89,77.78,6.73
443,Umm Bab,8,QA,1541292546,71,25.21,50.81,72.42,5.1
444,Along,92,IN,1541292546,99,28.17,94.8,55.86,1.7
445,Ahuimanu,75,US,1541289420,69,21.44,-157.84,84.92,12.75
446,Goure,12,NE,1541292527,46,13.98,10.27,63.29,2.71
447,Kahului,20,US,1541289360,53,20.89,-156.47,87.08,25.28
448,Rio Gallegos,40,AR,1541289600,41,-51.62,-69.22,59.0,28.86
449,Lubana,48,CD,1541292547,100,0.23,29.1,58.65,1.81
450,Kalmunai,64,LK,1541292547,100,7.42,81.82,70.8,3.31
451,Ostersund,36,SE,1541290800,87,63.18,14.64,35.6,6.93
452,Yerbogachen,76,RU,1541292547,80,61.28,108.01,21.3,8.01
453,Shebalino,44,RU,1541292548,68,51.29,85.68,11.04,3.71
454,Korostyshiv,92,UA,1541292548,92,50.32,29.06,47.58,3.83
455,Neiafu,0,TO,1541292548,100,-18.65,-173.98,75.21,18.63
456,Heinola,75,FI,1541290800,93,61.2,26.03,37.4,6.93
457,Hambantota,56,LK,1541292495,100,6.12,81.12,77.1,4.76
458,Gigmoto,20,PH,1541292549,100,13.78,124.39,81.51,11.1
459,Los Llanos de Aridane,44,ES,1541291400,64,28.66,-17.92,71.6,17.22
460,Kasongo-Lunda,92,CD,1541292549,98,-6.48,16.82,70.71,0.74
461,Ust-Kuyga,32,RU,1541292549,35,70.0,135.55,-23.75,2.86
462,Dayong,64,PH,1541292549,100,11.74,122.04,83.49,17.85
463,Goderich,92,CA,1541292435,86,43.74,-81.71,41.19,12.59
464,Mehamn,88,NO,1541292326,92,71.03,27.85,38.85,11.03
465,Amahai,68,ID,1541292550,100,-3.31,129.0,79.31,4.5
466,Paita,32,PE,1541292550,71,-5.09,-81.11,72.78,11.25
467,Voyvozh,88,RU,1541292550,100,62.89,54.96,32.55,5.88
468,Kodinsk,80,RU,1541292550,71,58.6,99.18,27.6,9.01
469,Manga,12,BF,1541292550,76,11.67,-1.07,73.68,2.71
470,Abu Zabad,0,SD,1541292551,35,12.35,29.25,68.37,8.75
471,Arlit,0,NE,1541292551,29,18.74,7.39,65.22,2.82
472,Porto Novo,90,BR,1541289600,94,-23.68,-45.44,68.0,12.75
473,Buzmeyin,0,TM,1541289600,64,38.05,58.21,33.8,4.7
474,Tarko-Sale,32,RU,1541292551,68,64.92,77.78,7.94,9.64
475,Belgrade,0,RS,1541291400,76,44.82,20.46,55.4,6.93
476,Pangody,24,RU,1541292552,63,65.85,74.49,0.78,3.31
477,Saint-Augustin,56,FR,1541291400,100,44.83,-0.61,41.0,2.24
478,Barcelos,75,PT,1541291400,93,41.53,-8.62,55.4,2.08
479,Innisfail,75,CA,1541289600,93,52.02,-113.95,39.2,2.24
480,Atambua,0,ID,1541292451,94,-9.11,124.89,82.59,5.32
481,Tiarei,40,PF,1541291400,70,-17.53,-149.33,84.2,16.11
482,Camacha,75,PT,1541291400,77,33.08,-16.33,64.4,10.29
483,Khasan,0,RU,1541292553,96,42.43,130.64,51.27,9.35
484,Mezen,92,RU,1541292553,99,65.85,44.24,32.37,2.75
485,Okhotsk,0,RU,1541292443,100,59.36,143.24,16.44,18.14
486,Strezhevoy,90,RU,1541289600,85,60.73,77.6,21.2,6.71
487,Masvingo,0,ZW,1541292554,95,-20.08,30.83,55.59,7.29
488,Kidal,0,ML,1541292554,41,18.44,1.41,68.24,4.54
489,Jiblah,0,YE,1541292554,92,13.92,44.15,43.94,1.59
490,Bushehr,0,IR,1541289120,35,28.97,50.84,73.4,4.7
491,Pingliang,92,CN,1541292555,75,35.54,106.68,34.08,6.78
492,Manacapuru,12,BR,1541292555,88,-3.3,-60.62,79.71,1.86
493,Bilma,0,NE,1541292556,27,18.69,12.92,59.78,2.82
494,Nhamunda,8,BR,1541292556,92,-2.19,-56.71,78.41,1.7
495,Isla Mujeres,75,MX,1541288400,100,21.23,-86.73,77.0,2.24
496,Chicama,75,PE,1541289600,88,-7.84,-79.15,66.2,9.17
497,Udpura,0,IN,1541289600,60,24.73,75.99,68.0,1.12
498,Miquelon,75,PM,1541289600,93,47.1,-56.38,55.4,28.86
499,Mnogovershinnyy,56,RU,1541292557,60,53.94,139.92,24.72,10.65
500,Vila,0,IT,1541290800,93,45.18,8.4,53.6,6.93
501,Florianopolis,40,BR,1541289600,94,-27.6,-48.55,69.8,5.82
502,Dubbo,0,AU,1541291400,33,-32.25,148.6,77.0,3.36
503,Alanya,8,TR,1541292557,100,36.55,32.0,63.29,10.09
504,Paka,90,HR,1541291400,100,45.29,18.06,53.6,1.12
505,Shache,44,CN,1541292558,87,38.42,77.24,23.55,0.29
506,Kudahuvadhoo,36,MV,1541292558,100,2.67,72.89,82.46,5.88
507,Salinopolis,20,BR,1541292519,94,-0.61,-47.36,82.41,13.56
508,Nelson Bay,90,AU,1541291400,73,-32.72,152.14,71.6,8.05
509,Asyut,0,EG,1541292558,71,27.18,31.19,51.09,3.04
510,Obninsk,90,RU,1541289600,93,55.1,36.61,46.4,11.18
511,Terrace,90,CA,1541291520,100,54.52,-128.61,42.8,1.81
512,Inta,80,RU,1541292559,83,66.04,60.13,24.54,4.05
513,Samarinda,80,ID,1541292559,98,-0.5,117.14,77.01,0.02
514,Crotone,64,IT,1541292559,99,39.09,17.12,70.04,18.03
515,Manitouwadge,68,CA,1541292559,82,49.12,-85.84,31.43,5.61
516,Merauke,12,ID,1541292560,69,-8.49,140.4,88.58,11.81
517,Tahe,0,CN,1541292560,66,52.34,124.71,7.53,3.76
518,Lolodorf,92,CM,1541292560,97,3.23,10.73,70.8,2.19
519,Datong,88,CN,1541292560,81,40.09,113.3,32.37,8.79
520,Rodrigues Alves,0,BR,1541289600,83,-7.74,-72.65,78.8,2.24
521,Ust-Tsilma,80,RU,1541292560,99,65.44,52.15,31.11,3.09
522,Tulu Bolo,20,ET,1541292561,86,8.66,38.21,42.23,2.26
523,Zhigansk,80,RU,1541292478,80,66.77,123.37,4.16,7.9
524,Labuhan,8,ID,1541292561,87,-2.54,115.51,78.54,2.04
525,Eirunepe,48,BR,1541292561,63,-6.66,-69.87,82.5,3.71
526,Wamba,92,CD,1541292561,99,2.14,27.99,65.63,2.37
527,Alghero,0,IT,1541290800,77,40.56,8.32,62.6,10.29
528,Tokur,0,RU,1541292561,45,53.13,132.9,9.69,3.76
529,Yumbel,0,CL,1541289600,76,-37.1,-72.56,55.4,5.82
530,Rayachoti,76,IN,1541292562,93,14.06,78.75,65.31,2.86
531,Jasper,0,US,1541291700,100,33.83,-87.28,60.08,5.28
532,Khanpur,0,PK,1541292562,73,28.65,70.66,55.28,3.6
533,Moranbah,0,AU,1541292563,45,-22.0,148.04,84.21,6.4
534,Agadez,0,NE,1541292563,20,16.97,7.99,61.76,3.31
535,Hadejia,0,NG,1541292563,34,12.45,10.04,69.27,6.06
536,The Valley,20,AI,1541289600,78,18.22,-63.06,80.6,17.22
537,Saquena,8,PE,1541292563,60,-4.67,-73.52,85.88,4.32
538,Dwarka,20,IN,1541291400,64,28.58,77.04,68.0,4.7
539,Shitanjing,68,CN,1541292563,79,39.23,106.34,19.73,2.08
540,Zhuhai,40,CN,1541289600,74,40.71,112.04,30.2,8.95
541,Wausau,1,US,1541291700,81,44.96,-89.63,42.08,7.52
542,Edd,0,ER,1541292564,53,13.93,41.69,66.48,2.53
543,Baruun-Urt,0,MN,1541292564,70,46.68,113.28,7.13,7.34
544,Marsala,40,IT,1541290800,87,37.8,12.44,59.0,6.93
545,Kompaniyivka,20,UA,1541292565,81,48.25,32.21,35.07,2.37
546,Kurtamysh,44,RU,1541292566,90,54.91,64.43,29.94,11.88
547,Bay Roberts,40,CA,1541289600,93,47.58,-53.28,60.8,19.46
548,Maloy,56,ID,1541292566,66,1.0,118.1,83.67,2.82
549,Oranjemund,92,ZA,1541292566,95,-28.55,16.43,58.65,19.19
550,Ayr,92,GB,1541290800,82,55.46,-4.63,55.4,19.46
551,Samarai,76,PG,1541292567,100,-10.62,150.67,79.26,12.1
552,Sao Joao da Barra,0,BR,1541292508,95,-21.64,-41.05,77.33,23.4
553,Mirnyy,88,RU,1541292567,98,56.57,36.46,46.46,13.56
554,Savannah Bight,20,HN,1541292567,98,16.45,-85.85,83.18,17.92
555,Rivers,90,CA,1541289600,86,50.03,-100.23,30.2,2.24
556,Rio Brilhante,24,BR,1541292567,89,-21.8,-54.54,74.76,3.76
557,Puerto Colombia,75,CO,1541289600,88,10.99,-74.96,80.6,13.87
558,Progreso,0,UY,1541289600,82,-34.68,-56.22,60.8,4.27
559,Cabra,0,ES,1541291400,93,37.47,-4.43,48.2,2.24
560,Kosonsoy,40,UZ,1541289600,93,41.25,71.55,37.4,2.24
561,Mabaruma,76,GY,1541292522,97,8.2,-59.78,77.51,4.27
562,Ketchikan,90,US,1541289360,92,55.34,-131.65,50.0,6.93
563,Cabras,92,CO,1541292569,97,5.5,-75.6,59.33,1.48
564,Boyolangu,48,ID,1541292569,81,-8.09,111.9,74.81,4.88
565,Port Hedland,0,AU,1541291400,24,-20.31,118.58,93.2,9.17
566,Vao,0,EE,1541292570,96,59.1,26.19,39.48,7.0
567,Wajir,32,KE,1541292570,78,1.75,40.07,74.54,8.9
568,Vera Cruz,76,BR,1541292571,96,-22.22,-49.82,69.36,2.08
569,Cabedelo,40,BR,1541289600,78,-6.97,-34.84,78.8,12.75
570,Hami,0,CN,1541292527,69,42.84,93.51,20.67,5.55
